ts,timestamp,zone,people_now,total_ids_seen_in_zone,tracked_ids,zone_timer_sec,zone_timer_hhmmss,zone_occupied_duration_sec,zone_occupied_duration_hhmmss,current_owner_id,current_session_start_time,current_session_duration_sec,is_valid_machine_usage,multi_person_detected,last_completed_session_duration_sec,completed_sessions_count,avg_completed_session_duration_sec,current_longest_usage_time_sec,estimated_waiting_time_sec
1773686990.624,2026-03-17 02:49:50,equipment_b,1,1,4,0.000,00:00:00,0.000,00:00:00,4,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686991.777,2026-03-17 02:49:51,equipment_a,1,1,1,3.285,00:00:03,3.285,00:00:03,1,2026-03-17 02:49:49,1.254,0,0,2.031,1,2.031,1.254,1.000
1773686991.777,2026-03-17 02:49:51,equipment_b,1,1,4,0.000,00:00:00,0.000,00:00:00,4,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686992.904,2026-03-17 02:49:52,equipment_a,1,1,1,3.285,00:00:03,3.285,00:00:03,1,2026-03-17 02:49:49,1.254,0,0,2.031,1,2.031,1.254,1.000
1773686992.904,2026-03-17 02:49:52,equipment_b,2,2,4|6,0.000,00:00:00,0.000,00:00:00,6,,0.000,0,1,0.000,0,0.000,0.000,0.000
1773686993.911,2026-03-17 02:49:53,equipment_a,1,1,1,3.285,00:00:03,3.285,00:00:03,1,,0.000,0,0,1.254,2,1.643,0.000,0.000
1773686993.911,2026-03-17 02:49:53,equipment_b,2,2,4|6,0.000,00:00:00,0.000,00:00:00,6,,0.000,0,1,0.000,0,0.000,0.000,0.000
1773686994.917,2026-03-17 02:49:54,equipment_a,1,1,1,3.285,00:00:03,3.285,00:00:03,1,,0.000,0,0,1.254,2,1.643,0.000,0.000
1773686994.917,2026-03-17 02:49:54,equipment_b,1,2,6,0.000,00:00:00,0.000,00:00:00,6,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686995.918,2026-03-17 02:49:55,equipment_a,1,1,1,3.936,00:00:03,3.936,00:00:03,1,2026-03-17 02:49:55,0.650,1,0,1.254,2,1.643,0.650,1.000
1773686995.918,2026-03-17 02:49:55,equipment_b,1,2,6,0.000,00:00:00,0.000,00:00:00,6,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686996.995,2026-03-17 02:49:56,equipment_a,1,1,1,5.013,00:00:05,5.013,00:00:05,1,2026-03-17 02:49:55,1.727,1,0,1.254,2,1.643,1.727,1.000
1773686996.995,2026-03-17 02:49:56,equipment_b,1,2,6,0.000,00:00:00,0.000,00:00:00,6,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686998.074,2026-03-17 02:49:58,equipment_a,1,1,1,6.091,00:00:06,6.091,00:00:06,1,2026-03-17 02:49:55,2.806,1,0,1.254,2,1.643,2.806,1.000
1773686998.074,2026-03-17 02:49:58,equipment_b,1,2,6,0.940,00:00:00,0.940,00:00:00,6,2026-03-17 02:49:57,0.940,1,0,0.000,0,0.000,0.940,0.000
1773686999.171,2026-03-17 02:49:59,equipment_a,1,1,1,7.189,00:00:07,7.189,00:00:07,1,2026-03-17 02:49:55,3.903,1,0,1.254,2,1.643,3.903,1.000
1773686999.171,2026-03-17 02:49:59,equipment_b,1,2,6,2.037,00:00:02,2.037,00:00:02,6,2026-03-17 02:49:57,2.037,1,0,0.000,0,0.000,2.037,0.000
1773687000.251,2026-03-17 02:50:00,equipment_a,1,1,1,8.268,00:00:08,8.268,00:00:08,1,2026-03-17 02:49:55,4.983,1,0,1.254,2,1.643,4.983,1.000
1773687000.251,2026-03-17 02:50:00,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
1773687001.365,2026-03-17 02:50:01,equipment_a,1,1,1,9.383,00:00:09,9.383,00:00:09,1,2026-03-17 02:49:55,6.097,1,0,1.254,2,1.643,6.097,1.000
1773687001.365,2026-03-17 02:50:01,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
